Grade,Dno,Dname,Sno,Sname,Stcount,Passpc
5,0,STATE TOTALS,0,GRADE 05,"195,645",54
5,1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL,63,13
5,1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL,75,60
5,1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHOOL,72,82
5,1,ALACHUA,52,A.QUINN JONES/EXCEP.STUDENT CENTER,4,-1
5,1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL,50,26
5,1,ALACHUA,82,HOSPITAL HOMEBOUND,1,-1
5,1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,77,56
5,1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHOOL,36,47
5,1,ALACHUA,111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,99,54
5,1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,130,38
5,1,ALACHUA,171,ARCHER ELEMENTARY,75,71
5,1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHOOL,28,18
5,1,ALACHUA,291,WALDO COMMUNITY SCHOOL,28,25
5,1,ALACHUA,311,MYRA TERWILLIGER ELEMENTARY SCHOOL,73,55
5,1,ALACHUA,321,IDYLWILD ELEMENTARY SCHOOL,76,42
5,1,ALACHUA,331,GLEN SPRINGS ELEMENTARY SCHOOL,66,68
5,1,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEMENTARY,40,35
5,1,ALACHUA,343,CHARACTER COUNTS CENTER,7,-1
5,1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,94,60
5,1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,117,87
5,1,ALACHUA,501,KIMBALL WILES ELEMENTARY SCHOOL,116,75
5,1,ALACHUA,510,LAWTON M. CHILES ELEMENTARY SCHOOL,105,63
5,1,ALACHUA,520,MEADOWBROOK ELEMENTARY SCHOOL,107,76
5,1,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,70,63
5,1,ALACHUA,561,WILLIAM S. TALBOT ELEM SCHOOL,106,79
5,1,ALACHUA,591,OAK VIEW MIDDLE SCHOOL,91,70
5,1,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,16,50
5,1,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL IN,19,74
5,1,ALACHUA,953,CARING & SHARING LEARNING SCHOOL,20,35
5,1,ALACHUA,955,EINSTEIN MONTESSORI SCHOOL,21,24
5,1,ALACHUA,956,EXPRESSIONS LEARNING ARTS ACADEMY,18,72
5,1,ALACHUA,957,ALACHUA LEARNING CENTER ELEMENTARY,22,59
5,1,ALACHUA,981,HEALTHY LEARNING ACADEMY CHARTER SC,10,70
5,1,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG,3,-1
5,2,BAKER,31,J FRANKLYN KELLER INTERMEDIATE SCHO,352,41
5,3,BAY,81,HUTCHISON BEACH ELEMENTARY SCHOOL,112,34
5,3,BAY,91,CEDAR GROVE ELEMENTARY SCHOOL,57,16
5,3,BAY,101,CALLAWAY ELEMENTARY SCHOOL,59,32
5,3,BAY,111,MERRIAM CHERRY STREET ELEMENTARY,69,48
5,3,BAY,131,LUCILLE MOORE ELEMENTARY SCHOOL,58,33
5,3,BAY,151,HILAND PARK ELEMENTARY SCHOOL,100,47
5,3,BAY,171,LYNN HAVEN ELEMENTARY SCHOOL,136,54
5,3,BAY,191,OAKLAND TERRACE SCH FOR THE VISUAL,44,45
5,3,BAY,211,PARKER ELEMENTARY SCHOOL,76,30
5,3,BAY,221,SOUTHPORT ELEMENTARY SCHOOL,66,44
5,3,BAY,231,SPRINGFIELD ELEMENTARY SCHOOL,60,27
5,3,BAY,241,ST. ANDREW SCHOOL,23,13
5,3,BAY,251,WALLER ELEMENTARY SCHOOL,77,44
5,3,BAY,291,OSCAR PATTERSON ELEMENTARY MAGNET,45,29
5,3,BAY,461,DEER POINT ELEMENTARY SCHOOL,80,58
5,3,BAY,471,NORTHSIDE ELEMENTARY SCHOOL,84,38
5,3,BAY,501,TYNDALL ELEMENTARY SCHOOL,95,66
5,3,BAY,511,TOMMY SMITH ELEMENTARY SCHOOL,89,48
5,3,BAY,521,PATRONIS ELEMENTARY SCHOOL,102,60
5,3,BAY,541,DEANE BOZEMAN SCHOOL,65,45
5,3,BAY,571,BREAKFAST POINT ACADEMY,185,62
5,3,BAY,701,BAY HAVEN CHARTER ACADEMY,129,84
